name,id,latitude,longitude,elevation
BERING SEA BUOY 46035,992820.0,57.016,-177.703,0.0
CANAVERAL EAST BUOY 41010,995460.0,28.878,-78.485,0.0
CAPE ELIZABETH BUOY 46041,994980.0,47.353,-124.742,0.0
CAPE SAN MARTIN BUOY 46028,992380.0,35.774,-121.905,0.0
CHESAPEAKE LIGHT,994020.0,36.91,-75.71,0.0
COL RIVER BAR BUOY 46029,992370.0,46.143,-124.485,0.0
CORPUS CHRISTI BUOY 42020,996190.0,26.968,-96.693,0.0
DELAWARE BAY BUOY 44009,992400.0,38.457,-74.702,0.0
DIAMOND SHOALS BUOY 41025,997040.0,35.025,-75.363,16.0
EAST GULF BUOY 42003,992440.0,25.925,-85.615,0.0
EDISTO BUOY 41004,992730.0,32.501,-79.099,0.0
FAIRWEATHER GROUND BUOY 46083,996220.0,58.3,-137.997,0.0
FRYING PAN SHOALS BUOY 41013,997030.0,33.436,-77.743,10.0
GEORGES BANK BUOY 44011,992360.0,41.07,-66.588,0.0
GRAYS REEF BUOY 41008,997010.0,31.4,-80.868,0.0
GULF OF AK BUOY 46001,992030.0,56.232,-147.949,0.0
GULF OF MAINE BUOY 44005,992760.0,43.201,-69.128,0.0
HALF MOON BAY BUOY 46012,992480.0,37.356,-122.881,0.0
HOTEL BUOY 44004,992070.0,38.484,-70.433,0.0
JORDAN BASIN BUOY 44037,997183.0,43.497,-67.876,0.0
LONG ISLAND BUOY 44025,996420.0,40.251,-73.164,0.0
LUKE OFFSHORE BUOY 42040,995000.0,29.208,-88.226,0.0
MID GULF BUOY 42001,992040.0,25.942,-89.657,0.0
MONTEREY BUOY 46042,992410.0,36.785,-122.398,0.0
NANTUCKET BUOY 44008,992790.0,40.504,-69.248,0.0
NORTH EQUATORIAL 2 BUOY 41041,997397.0,14.5,-46.0,10.0
OREGON BUOY 46002,992160.0,42.612,-130.537,0.0
PENSACOLA BUOY 42039,995470.0,28.788,-86.008,0.0
PT ARGUELLO BUOY 46023,992580.0,34.714,-120.967,0.0
SOUTH ALEUTIANS BUOY 46003,992170.0,51.831,-155.85,10.0
SOUTH HATTERAS BUOY 41002,992150.0,31.887,-74.921,0.0
SOUTH KODIAK BUOY 46066,996610.0,52.765,-155.009,0.0
SOUTHEAST HAWAII BUOY 51004,992620.0,17.533,-152.255,0.0
SOUTHEAST PAPA BUOY 46006,992200.0,40.782,-137.397,0.0
SOUTHWEST HAWAII BUOY 51002,992430.0,17.043,-157.742,0.0
ST AUGUSTINE BUOY 41012,996350.0,30.042,-80.534,0.0
STONEWALL BANK BUOY 46050,996760.0,44.677,-124.515,0.0
TANNER BANKS BUOY 46047,996740.0,32.404,-119.506,0.0
VIRGINIA BEACH BUOY 44014,996300.0,36.606,-74.84,0.0
WASHINGTON BUOY 46005,992210.0,46.134,-131.079,0.0
WEST GULF BUOY 42002,992710.0,26.055,-93.646,0.0
WEST HAWAII BUOY 51003,992610.0,19.175,-160.625,0.0
WEST TAMPA BUOY 42036,995910.0,28.501,-84.516,0.0
ALBERTVILLE,720376.0,34.229,-86.256,1033.0
ALEXANDER CITY,720265.0,32.915,-85.963,686.0
ANNISTON,722287.0,33.587,-85.856,594.0
AUBURN UNIVERSITY,722284.0,32.616,-85.433,778.0
BIRMINGHAM SHUTTLESWORTH,722280.0,33.566,-86.745,617.0
BREWTON 3 NNE,722277.0,31.145,-87.052,171.0
CAIRNS AAF,722269.0,31.267,-85.717,302.0
CENTREVILLE,722290.0,32.9,-87.25,453.0
CLANTON 2 NE,750020.0,32.852,-86.612,584.0
COURTLAND 2 WSW,720774.0,34.66,-87.346,574.0
